
  .. 3000/12000 frames, avg util=0.25984, R̄=0.782, 5.2s
  .. 3600/12000 frames, avg util=0.27367, R̄=0.784, 6.3s
  .. 4200/12000 frames, avg util=0.28663, R̄=0.784, 7.3s
  .. 4800/12000 frames, avg util=0.29371, R̄=0.785, 8.3s
  .. 5400/12000 frames, avg util=0.28055, R̄=0.785, 9.4s
  .. 6000/12000 frames, avg util=0.29306, R̄=0.786, 10.4s
  .. 6600/12000 frames, avg util=0.29318, R̄=0.786, 11.4s
  .. 7200/12000 frames, avg util=0.27467, R̄=0.786, 12.5s
  .. 7800/12000 frames, avg util=0.27455, R̄=0.786, 13.5s
  .. 8400/12000 frames, avg util=0.28588, R̄=0.783, 14.6s
  .. 9000/12000 frames, avg util=0.28690, R̄=0.782, 15.6s
  .. 9600/12000 frames, avg util=0.28777, R̄=0.782, 16.7s
  .. 10200/12000 frames, avg util=0.28519, R̄=0.781, 17.7s
  .. 10800/12000 frames, avg util=0.28204, R̄=0.781, 18.7s
  .. 11400/12000 frames, avg util=0.28494, R̄=0.781, 19.8s
  .. 12000/12000 frames, avg util=0.28526, R̄=0.781, 20.8s
λ=(1.5, 1.0, 0.03, 0.01): util=0.28526  R̄=0.781
λ=(1.5, 1.0, 0.03, 0.02) → running backtest on 12000 frames ...
  .. 600/12000 frames, avg util=0.31570, R̄=0.785, 1.1s
  .. 1200/12000 frames, avg util=0.25567, R̄=0.787, 2.1s
  .. 1800/12000 frames, avg util=0.22023, R̄=0.786, 3.2s
  .. 2400/12000 frames, avg util=0.25368, R̄=0.782, 4.2s
  .. 3000/12000 frames, avg util=0.25967, R̄=0.782, 5.2s
  .. 3600/12000 frames, avg util=0.27349, R̄=0.784, 6.3s
  .. 4200/12000 frames, avg util=0.28645, R̄=0.784, 7.3s
  .. 4800/12000 frames, avg util=0.29353, R̄=0.785, 8.4s
  .. 5400/12000 frames, avg util=0.28037, R̄=0.785, 9.4s
  .. 6000/12000 frames, avg util=0.29288, R̄=0.786, 10.4s
  .. 6600/12000 frames, avg util=0.29299, R̄=0.786, 11.5s
  .. 7200/12000 frames, avg util=0.27448, R̄=0.786, 12.5s
  .. 7800/12000 frames, avg util=0.27435, R̄=0.786, 13.6s
  .. 8400/12000 frames, avg util=0.28570, R̄=0.783, 14.6s
  .. 9000/12000 frames, avg util=0.28671, R̄=0.782, 15.6s
  .. 9600/12000 frames, avg util=0.28759, R̄=0.782, 16.7s
  .. 10200/12000 frames, avg util=0.28501, R̄=0.781, 17.7s
  .. 10800/12000 frames, avg util=0.28186, R̄=0.781, 18.7s
